#Frame      Pop:0    Pop:1    Pop:2    Pop:3    Pop:4    Pop:5    Pop:6    Pop:7    Pop:8    Pop:9
     305    0.197    0.728    0.000    0.000    0.000    0.000    0.000    0.072    0.003    0.000
     306    0.196    0.729    0.000    0.000    0.000    0.000    0.000    0.072    0.003    0.000
     307    0.195    0.730    0.000    0.000    0.000    0.000    0.000    0.072    0.003    0.000
     308    0.195    0.731    0.000    0.000    0.000    0.000    0.000    0.071    0.003    0.000
     309    0.194    0.731    0.000    0.000    0.000    0.000    0.000    0.071    0.003    0.000
     310    0.194    0.732    0.000    0.000    0.000    0.000    0.000    0.071    0.003    0.000
     311    0.193    0.733    0.000    0.000    0.000    0.000    0.000    0.071    0.003    0.000
     312    0.192    0.734    0.000    0.000    0.000    0.000    0.000    0.071    0.003    0.000
     313    0.192    0.735    0.000    0.000    0.000    0.000    0.000    0.070    0.003    0.000
     314    0.191    0.736    0.000    0.000    0.000    0.000    0.000    0.070    0.003    0.000
     315    0.190    0.737    0.000    0.000    0.000    0.000    0.000    0.070    0.003    0.000
     316    0.190    0.737    0.000    0.000    0.000    0.000    0.000    0.070    0.003    0.000
